Timestamp,Provider,Counter Name,Counter Type,Mean/Increment
31.1.2025 11.30.29,System.Runtime,Gen 2 GC Count (Count / 1 sec),Rate,0
31.1.2025 11.30.29,System.Runtime,ThreadPool Thread Count,Metric,2
31.1.2025 11.30.29,System.Runtime,Monitor Lock Contention Count (Count / 1 sec),Rate,0
31.1.2025 11.30.29,System.Runtime,ThreadPool Queue Length,Metric,0
31.1.2025 11.30.29,System.Runtime,ThreadPool Completed Work Item Count (Count / 1 sec),Rate,9
31.1.2025 11.30.29,System.Runtime,Allocation Rate (B / 1 sec),Rate,1290432
31.1.2025 11.30.29,System.Runtime,Number of Active Timers,Metric,0
31.1.2025 11.30.29,System.Runtime,GC Fragmentation (%),Metric,0
31.1.2025 11.30.29,System.Runtime,Exception Count (Count / 1 sec),Rate,0
31.1.2025 11.30.29,System.Runtime,% Time in GC since last GC (%),Metric,0
31.1.2025 11.30.29,System.Runtime,Gen 0 Size (B),Metric,24
31.1.2025 11.30.29,System.Runtime,Gen 1 Size (B),Metric,91160
31.1.2025 11.30.29,System.Runtime,Gen 2 Size (B),Metric,305904
31.1.2025 11.30.29,System.Runtime,LOH Size (B),Metric,24
31.1.2025 11.30.29,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,56320
31.1.2025 11.30.29,System.Runtime,Number of Assemblies Loaded,Metric,234
